Artist;Title;Decade;Themes;Final;Tab
Maitre Gims,Maitre Gims et Vianney;La même;2010;Les rappeurs,Les duos,La même chanson;_;https://tabs.ultimate-guitar.com/tab/2367461
Maitre Gims;Sapés comme jamais;2010;Les rappeurs,Plus jamais,.com;_;http://tontonremy.com/ukulele/partoches/francais2/page314/page315/page316/page316.html
Manau;La tribu de Dana;1990;Les rappeurs,En 5 lettres,Les groupes,Dany Dan;_;https://www.boiteachansons.net/Partitions/Manau/La-tribu-de-Dana.php
Marc Lavoine;Les Tournesols;90;Avec des fleurs;_;https://tabs.ultimate-guitar.com/tab/marc-lavoine/les-tournesols-chords-1158491
Marc Lavoine;Les yeux révolver;80;T'as de beaux yeux;MC;https://tabs.ultimate-guitar.com/tab/marc-lavoine/elle-a-les-yeux-revolver-chords-1708219
Marc Lavoine,Marc Lavoine et Cristina Marocco;J'ai tout oublié;2000;Les duos;MC;https://tabs.ultimate-guitar.com/tab/2696109
Maxime Leforestier;San Francisco;70;Voyage voyage,USA,Les années hippies;_;https://tabs.ultimate-guitar.com/tab/maxime-le-forestier/san-francisco-chords-1668321
Ménélik,Ménélik et Imane D;Bye bye;90;Titre en anglais,Les rappeurs,Au revoir !;_;
Michel Berger;La Groupie du Pianiste;80;Qui va piano...,C'est Michel !;MC;https://tabs.ultimate-guitar.com/tab/michel-berger/la-groupie-du-pianiste-chords-1705919
Michel Berger;Chanter pour ceux qui sont loin de chez eux;80;Si on chantait ?,C'est Michel !,Titre à rallonge,À l'infinitif;MC;https://tabs.ultimate-guitar.com/tab/michel-berger/chanter-pour-ceux-qui-sont-loin-de-chez-eux-chords-1720854
Michel Delpech;Wight is Wight;60;C'est Michel !,Titre en anglais,W comme...,Les années hippies;_;https://tabs.ultimate-guitar.com/tab/michel-delpech/wight-is-wight-chords-1745473
Michel Delpech;Le Loir-et-Cher;70;C'est Michel !,Douce France,Voyage voyage,Ville ou Campagne;MC;https://www.boiteachansons.net/Partitions/Michel-Delpech/Le-Loir-et-Cher.php
Michel Jonasz;La boite de jazz;80;Tous en boite,C'est Michel !,Le jazz ou la java ?;_;https://www.boiteachansons.net/Partitions/Michel-Jonasz/La-boite-de-jazz.php
Michel Polnareff;Lettre à France;70;C'est Michel !,Douce France,Douce France;MC;https://tabs.ultimate-guitar.com/tab/michel-polnareff/lettre-a-france-chords-1718766
Michel Sardou;En chantant;70;C'est Michel !,Si on chantait ?;MC;https://tabs.ultimate-guitar.com/tab/michel-sardou/en-chantant-chords-2693589
Michel Sardou;La java de Broadway;60;C'est Michel !,Voyage voyage,Le jazz ou la java ?,USA;MC;https://tabs.ultimate-guitar.com/tab/michel-sardou/la-java-de-broadway-chords-1751679
Michel Sardou;La maladie d'amour;70;C'est Michel !,C'est l'amour;MC;https://tabs.ultimate-guitar.com/tab/michel-sardou/la-maladie-damour-chords-1450597
Michel Sardou;Les lacs du Connemara;80;C'est Michel !,Voyage voyage;MC;https://tabs.ultimate-guitar.com/tab/michel-sardou/les-lacs-du-connemara-chords-1719657
